File Name,Model,Dataset,Accept Fn,Select Fn,Reverse Type,Final Accuracy,Final Loss,Total Iterations
mcmc_gcn_citeseer_increasing_binary_attacked_results.pkl,GCN,CITESEER,INCREASING,BINARY,ATTACKED,0.566,3.9900522232055664,5.652465895042578
mcmc_gcn_citeseer_increasing_binary_reversed_results.pkl,GCN,CITESEER,INCREASING,BINARY,REVERSED,0.562,3.990981101989746,5.52480201498663
mcmc_gcn_citeseer_increasing_decaying_attacked_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,ATTACKED,0.568,3.963236093521118,15.603321983013494
mcmc_gcn_citeseer_increasing_decaying_reversed_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,REVERSED,0.565,4.022278785705566,14.636699144314523
mcmc_gcn_cora_constant_binary_attacked_results.pkl,GCN,CORA,CONSTANT,BINARY,ATTACKED,0.754,1.9361209869384766,4.435935122940761
mcmc_gcn_cora_constant_binary_reversed_results.pkl,GCN,CORA,CONSTANT,BINARY,REVERSED,0.758,1.947450041770935,4.47011028223254
mcmc_gcn_cora_constant_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.747,1.9509199857711792,33.653120258685504
mcmc_gcn_cora_constant_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.756,1.9756289720535278,29.875075543493182
mcmc_gcn_cora_increasing_attacked_results.pkl,GCN,CORA,INCREASING,NONE,ATTACKED,0.765,1.9172043800354004,3.535788051283123
mcmc_gcn_cora_increasing_binary_attacked_results.pkl,GCN,CORA,INCREASING,BINARY,ATTACKED,0.749,1.9305036067962646,5.038776705521118
mcmc_gcn_cora_increasing_binary_reversed_results.pkl,GCN,CORA,INCREASING,BINARY,REVERSED,0.756,1.9420472383499146,5.148694383087763
mcmc_gcn_cora_increasing_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.748,1.9225198030471802,17.38207860456674
mcmc_gcn_cora_increasing_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.756,1.9491983652114868,16.705769720078322
mcmc_gsage_citeseer_constant_binary_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,ATTACKED,0.65,1.5067496299743652,10.821574821211142
mcmc_gsage_citeseer_constant_binary_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,REVERSED,0.648,1.5099272727966309,10.840641780446829
mcmc_gsage_citeseer_constant_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.649,1.5199079513549805,34.79339795706995
mcmc_gsage_citeseer_constant_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.652,1.5101430416107178,33.95057466124982
mcmc_gsage_citeseer_increasing_attacked_results.pkl,GSAGE,CITESEER,INCREASING,NONE,ATTACKED,0.651,1.5090073347091675,3.2054545774801397
mcmc_gsage_citeseer_increasing_binary_attacked_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,ATTACKED,0.646,1.507996678352356,5.222624715833533
mcmc_gsage_citeseer_increasing_binary_reversed_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,REVERSED,0.652,1.50974702835083,5.23753483263399
mcmc_gsage_citeseer_increasing_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.654,1.4923158884048462,9.38642550843511
mcmc_gsage_citeseer_increasing_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.655,1.5099923610687256,9.471820306448276
mcmc_gsage_cora_constant_binary_attacked_results.pkl,GSAGE,CORA,CONSTANT,BINARY,ATTACKED,0.799,0.7164329290390015,5.426630520513618
mcmc_gsage_cora_constant_binary_reversed_results.pkl,GSAGE,CORA,CONSTANT,BINARY,REVERSED,0.798,0.7156882286071777,5.422219292671165
mcmc_gsage_cora_constant_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.801,0.7195205688476562,42.16910054997712
mcmc_gsage_cora_constant_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.8,0.7196121215820312,42.769838899275484
mcmc_gsage_cora_increasing_attacked_results.pkl,GSAGE,CORA,INCREASING,NONE,ATTACKED,0.803,0.7116686105728149,3.3131993278831393
mcmc_gsage_cora_increasing_binary_attacked_results.pkl,GSAGE,CORA,INCREASING,BINARY,ATTACKED,0.797,0.7198467254638672,5.4096581767047835
mcmc_gsage_cora_increasing_binary_reversed_results.pkl,GSAGE,CORA,INCREASING,BINARY,REVERSED,0.8,0.7154499292373657,5.601009896146391
mcmc_gsage_cora_increasing_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.798,0.7284237146377563,11.655595831761005
mcmc_gsage_cora_increasing_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.804,0.719426155090332,11.671440195980821
